regime,policy,episode,total_return,service_level,avg_on_hand,holding_cost,penalty_cost
stationary,ppo,5,2303.0000,0.9259,5.0769,264.0000,185.0000
stationary,ppo,6,2603.0000,0.9396,3.9423,205.0000,160.0000
stationary,ppo,7,2518.0000,0.9242,4.0385,210.0000,200.0000
stationary,ppo,8,2679.0000,0.9576,3.7115,193.0000,110.0000
stationary,ppo,9,2467.0000,0.9613,5.1923,270.0000,95.0000
stationary,ppo,10,2479.0000,0.8984,3.6731,191.0000,280.0000
stationary,ppo,11,2464.0000,0.9373,4.6923,244.0000,160.0000
stationary,ppo,12,2594.0000,0.9306,3.7885,197.0000,185.0000
stationary,ppo,13,2600.0000,0.9070,3.1154,162.0000,260.0000
stationary,ppo,14,2615.0000,0.9414,4.1923,218.0000,155.0000
stationary,ppo,15,2447.0000,0.9099,4.6731,243.0000,240.0000
stationary,ppo,16,2628.0000,0.9343,3.1731,165.0000,175.0000
stationary,ppo,17,2561.0000,0.9497,4.5192,235.0000,130.0000
stationary,ppo,18,2572.0000,0.9623,4.6731,243.0000,95.0000
stationary,ppo,19,2534.0000,0.9529,5.0385,262.0000,120.0000
stationary,ppo,20,2559.0000,0.9248,4.0962,213.0000,200.0000
stationary,ppo,21,2603.0000,0.9481,4.6154,240.0000,135.0000
stationary,ppo,22,2613.0000,0.9190,3.0962,161.0000,220.0000
stationary,ppo,23,2594.0000,0.9370,3.5962,187.0000,165.0000
stationary,ppo,24,2444.0000,0.9269,4.5769,238.0000,190.0000
stationary,ppo,25,2476.0000,0.9375,5.0769,264.0000,160.0000
stationary,ppo,26,2572.0000,0.9606,4.8077,250.0000,100.0000
stationary,ppo,27,2330.0000,0.8801,4.3654,227.0000,325.0000
stationary,ppo,28,2659.0000,0.9522,3.9231,204.0000,125.0000
stationary,ppo,29,2196.0000,0.9091,5.3654,279.0000,225.0000
stationary,ppo,30,2435.0000,0.9312,4.5000,234.0000,175.0000
stationary,ppo,31,2574.0000,0.9370,4.3654,227.0000,165.0000
stationary,ppo,32,2616.0000,0.9464,4.0000,208.0000,140.0000
stationary,ppo,33,2581.0000,0.9216,3.7115,193.0000,210.0000
stationary,ppo,34,2685.0000,0.9403,3.4423,179.0000,160.0000
stationary,ppo,35,2580.0000,0.9405,3.9423,205.0000,155.0000
stationary,ppo,36,2566.0000,0.9170,3.6731,191.0000,225.0000
stationary,ppo,37,2549.0000,0.9318,4.2885,223.0000,180.0000
stationary,ppo,38,2612.0000,0.9134,3.1538,164.0000,240.0000
stationary,ppo,39,2582.0000,0.9322,4.0000,208.0000,180.0000
stationary,ppo,40,2626.0000,0.9521,4.0577,211.0000,125.0000
stationary,ppo,41,2689.0000,0.9653,4.3654,227.0000,90.0000
stationary,ppo,42,2461.0000,0.9413,5.2885,275.0000,150.0000
stationary,ppo,43,2492.0000,0.9205,4.1154,214.0000,210.0000
stationary,ppo,44,2370.0000,0.8926,4.4615,232.0000,290.0000
stationary,ppo,45,2715.0000,0.9545,3.5192,183.0000,120.0000
stationary,ppo,46,2513.0000,0.9242,4.5192,235.0000,200.0000
stationary,ppo,47,2662.0000,0.9439,4.1923,218.0000,150.0000
stationary,ppo,48,2493.0000,0.9309,4.5577,237.0000,180.0000
stationary,ppo,49,2510.0000,0.9360,4.2885,223.0000,165.0000
stationary,ppo,50,2549.0000,0.9404,4.4231,230.0000,155.0000
stationary,ppo,51,2634.0000,0.9538,3.7692,196.0000,120.0000
stationary,ppo,52,2665.0000,0.9613,4.1731,217.0000,100.0000
stationary,ppo,53,2639.0000,0.9595,4.1923,218.0000,105.0000
stationary,ppo,54,2774.0000,0.9787,3.9808,207.0000,55.0000
stationary,ppo,55,2665.0000,0.9707,4.6538,242.0000,75.0000
stationary,ppo,56,2649.0000,0.9348,3.6154,188.0000,175.0000
stationary,ppo,57,2585.0000,0.9699,4.5769,238.0000,75.0000
stationary,ppo,58,2682.0000,0.9307,3.6154,188.0000,190.0000
stationary,ppo,59,2517.0000,0.9328,4.3077,224.0000,175.0000
stationary,ppo,60,2654.0000,0.9364,3.5000,182.0000,170.0000
stationary,ppo,61,2525.0000,0.9143,3.6731,191.0000,230.0000
stationary,ppo,62,2455.0000,0.9571,5.1538,268.0000,105.0000
stationary,ppo,63,2358.0000,0.9356,5.2308,272.0000,160.0000
stationary,ppo,64,2384.0000,0.9311,5.3654,279.0000,175.0000
stationary,ppo,65,2542.0000,0.9198,3.8654,201.0000,215.0000
stationary,ppo,66,2541.0000,0.9419,4.3269,225.0000,150.0000
stationary,ppo,67,2740.0000,0.9581,3.2308,168.0000,110.0000
stationary,ppo,68,2683.0000,0.9524,3.6923,192.0000,125.0000
stationary,ppo,69,2680.0000,0.9503,3.3077,172.0000,130.0000
stationary,ppo,70,2477.0000,0.8812,3.2692,170.0000,335.0000
stationary,ppo,71,2505.0000,0.9561,4.9808,259.0000,110.0000
stationary,ppo,72,2431.0000,0.9511,5.2115,271.0000,120.0000
stationary,ppo,73,2559.0000,0.9598,4.4038,229.0000,100.0000
stationary,ppo,74,2475.0000,0.9407,4.4423,231.0000,150.0000
stationary,ppo,75,2386.0000,0.9529,5.1731,269.0000,115.0000
stationary,ppo,76,2181.0000,0.9106,5.9038,307.0000,220.0000
stationary,ppo,77,2381.0000,0.9743,5.9423,309.0000,60.0000
stationary,ppo,78,2434.0000,0.9319,5.0962,265.0000,175.0000
stationary,ppo,79,2612.0000,0.9554,4.4423,231.0000,115.0000
stationary,ppo,80,2574.0000,0.9313,3.3462,174.0000,180.0000
